#,Element,Alpha_P_H,Alpha_PP_H,Beta_x,Alpha_x,Mu_x,Beta_y,Alpha_y,Mu_y,Semi_Ap_H,Semi_Ap_V,Dist_Datum_D,Ap_H,Ap_V,Ratio_Ap_Beta_x,Ratio_Ap_Beta_y
85,L14,2.251871,-0.377053,5.991207,1.244522,0.137719,6.770628,-0.368415,0.154393,75.9905,58.957115,8.086,0.151981,0.11791423,0.0253673425071108,0.0174155528851976
86,L14,2.214184,-0.376684,5.746653,1.20103,0.140432,6.846139,-0.386692,0.156731,74.591411,59.257161,8.186,0.149182822,0.118514322,0.0259599495567245,0.0173111182814138
87,L14,2.176534,-0.376311,5.510792,1.15759,0.14326,6.925308,-0.405009,0.159042,73.210352,59.569977,8.286,0.146420704,0.119139954,0.0265698113810138,0.0172035603326234
88,L14,2.138922,-0.375933,5.283614,1.114203,0.14621,7.008145,-0.423365,0.161327,71.848429,59.895375,8.386,0.1436968579999999,0.11979075,0.0271966986990344,0.0170930752717017
89,L17,2.092711,-0.375463,5.016077,1.060908,0.150013,7.115075,-0.446001,0.164099,70.201259,60.312589,8.509,0.1404025179999999,0.120625178,0.0279905029368568,0.0169534654237657
90,L14,2.055184,-0.375075,4.808223,1.017637,0.153254,7.20612,-0.464452,0.166322,68.886382,60.665354,8.609,0.137772764,0.121330708,0.0286535720161065,0.0168371756229427
91,L14,2.017696,-0.374684,4.609019,0.974416,0.156635,7.300859,-0.482946,0.168516,67.594751,61.030076,8.709,0.135189502,0.122060152,0.0293315132786391,0.0167186014686764
92,L18,1.954057,-0.37401,4.290192,0.901056,0.162721,7.47042,-0.514491,0.17218,65.45649,61.676983,8.879,0.13091298,0.123353966,0.0305144804708041,0.0165123200569713
93,L19,1.905469,-0.373488,4.0632,0.845054,0.167677,7.607333,-0.538705,0.174925,63.874334,62.193997,9.009,0.127748668,0.124387994,0.0314404085449891,0.0163510646898196
94,L14,1.868141,-0.373083,3.898492,0.80203,0.171676,7.716942,-0.557385,0.177002,62.691148,62.604556,9.109,0.125382296,0.125209112,0.0321617425404489,0.0162252239293751
95,L14,1.830853,-0.372674,3.742385,0.759053,0.175844,7.830291,-0.576115,0.17905,61.539403,63.026072,9.209,0.123078806,0.126052144,0.0328877990906868,0.0160980152589475
